x angle0interp angle0integration angle1interp angle1integration angle2interp angle2integration angle3interp angle3integration angle4interp angle4integration angle5interp angle5integration angle6interp angle6integration angle7interp angle7integration 
3.503503504 -0.0004003129106 -0.0004003142571 -0.001107847153 -0.001107841613 -0.002878056284 -0.002878056406 -0.004740889367 -0.004740882814 -0.005541101141 -0.005541097466 -0.004740889367 -0.004740882814 -0.002878056284 -0.002878056406 -0.001107847153 -0.001107841613 
3.603603604 -0.0003389422119 -0.0003389366996 -0.0009886728471 -0.0009886695687 -0.002612092106 -0.002612071405 -0.004317134787 -0.00431711992 -0.005048561413 -0.005048564819 -0.004317134787 -0.00431711992 -0.002612092106 -0.002612071405 -0.0009886728471 -0.0009886695687 
3.703703704 -0.0002884713124 -0.0002884565971 -0.0008858623832 -0.0008858539184 -0.002376527466 -0.002376507179 -0.00393916605 -0.003939173187 -0.004608644387 -0.004608639177 -0.00393916605 -0.003939173187 -0.002376527466 -0.002376507179 -0.0008858623832 -0.0008858539184 
3.803803804 -0.0002467079866 -0.0002466974319 -0.0007966676013 -0.0007966419453 -0.002167122831 -0.002167127291 -0.003601190193 -0.003601187375 -0.00421474275 -0.004214754107 -0.003601190193 -0.003601187375 -0.002167122831 -0.002167127291 -0.0007966676013 -0.0007966419453 
3.903903904 -0.0002119413297 -0.0002119508365 -0.0007188153444 -0.0007188072021 -0.001980361774 -0.001980363755 -0.003298119646 -0.003298118708 -0.003861192464 -0.003861213525 -0.003298119646 -0.003298118708 -0.001980361774 -0.001980363755 -0.0007188153444 -0.0007188072021 
4.004004004 -0.0001828775761 -0.0001828737315 -0.0006505324275 -0.0006505446799 -0.001813205463 -0.00181321081 -0.003025620408 -0.003025632865 -0.003543090909 -0.003543093348 -0.003025620408 -0.003025632865 -0.001813205463 -0.00181321081 -0.0006505324275 -0.0006505446799 
4.104104104 -0.0001584308325 -0.0001584070875 -0.0005903817714 -0.0005903857016 -0.001663104612 -0.001663132428 -0.002780022124 -0.002780008473 -0.003256121529 -0.003256144492 -0.002780022124 -0.002780008473 -0.001663104612 -0.001663132428 -0.0005903817714 -0.0005903857016 
4.204204204 -0.000137696762 -0.0001377124161 -0.0005371082749 -0.0005371296132 -0.001527982076 -0.001527983289 -0.002558051175 -0.002558049059 -0.002996704141 -0.002996701752 -0.002558051175 -0.002558049059 -0.001527982076 -0.001527983289 -0.0005371082749 -0.0005371296132 
4.304304304 -0.0001201228891 -0.0001201225088 -0.0004898060996 -0.000489789433 -0.001405937866 -0.001405942277 -0.002357026944 -0.002357004897 -0.002761595893 -0.002761601059 -0.002357026944 -0.002357004897 -0.001405937866 -0.001405942277 -0.0004898060996 -0.000489789433 
4.404404404 -0.0001051049475 -0.0001051034308 -0.0004475438007 -0.0004475488727 -0.001295467512 -0.001295457165 -0.002174497564 -0.00217450504 -0.002548121937 -0.002548106235 -0.002174497564 -0.00217450504 -0.001295467512 -0.001295457165 -0.0004475438007 -0.0004475488727 
4.504504505 -9.22043171e-05 -9.222529324e-05 -0.0004097340891 -0.0004097284829 -0.001195179931 -0.001195198966 -0.002008493567 -0.002008499094 -0.002353840643 -0.002353845365 -0.002008493567 -0.002008499094 -0.001195179931 -0.001195198966 -0.0004097340891 -0.0004097284829 
4.604604605 -8.114949659e-05 -8.113979962e-05 -0.0003757631257 -0.000375759028 -0.001104037999 -0.001104024494 -0.00185722088 -0.001857207919 -0.002176741189 -0.002176756278 -0.00185722088 -0.001857207919 -0.001104037999 -0.001104024494 -0.0003757631257 -0.000375759028 
4.704704705 -7.154731021e-05 -7.156298331e-05 -0.0003451637718 -0.0003451605396 -0.001020952106 -0.001020945742 -0.001719078683 -0.00171908219 -0.002015058283 -0.002015040291 -0.001719078683 -0.00171908219 -0.001020952106 -0.001020945742 -0.0003451637718 -0.0003451605396 
4.804804805 -6.327001418e-05 -6.326190214e-05 -0.0003175263213 -0.0003175258016 -0.0009450931141 -0.0009451048618 -0.001592765791 -0.001592767747 -0.001867115469 -0.001867123228 -0.001592765791 -0.001592767747 -0.0009450931141 -0.0009451048618 -0.0003175263213 -0.0003175258016 
4.904904905 -5.604862744e-05 -5.604434331e-05 -0.0002925029737 -0.0002925072812 -0.0008757682 -0.0008757536997 -0.001477089246 -0.001477076688 -0.001731610061 -0.001731622677 -0.001477089246 -0.001477076688 -0.0008757682 -0.0008757536997 -0.0002925029737 -0.0002925072812 
5.005005005 -4.974230089e-05 -4.975081712e-05 -0.0002698175684 -0.0002698067358 -0.0008122329034 -0.0008122370244 -0.001370946893 -0.001370963261 -0.001607336745 -0.001607320559 -0.001370946893 -0.001370963261 -0.0008122329034 -0.0008122370244 -0.0002698175684 -0.0002698067358 
5.105105105 -4.426881485e-05 -4.424829436e-05 -0.0002491520468 -0.0002491669004 -0.0007539753865 -0.0007539787195 -0.001273514218 -0.001273503738 -0.001493132259 -0.001493140105 -0.001273514218 -0.001273503738 -0.0007539753865 -0.0007539787195 -0.0002491520468 -0.0002491669004 
5.205205205 -3.941168036e-05 -3.942527596e-05 -0.0002303647252 -0.0002303647957 -0.0007004683345 -0.0007004703767 -0.001183881681 -0.001183879565 -0.001388125447 -0.001388126534 -0.001183881681 -0.001183879565 -0.0007004683345 -0.0007004703767 -0.0002303647252 -0.0002303647957 
5.305305305 -3.518149957e-05 -3.518788617e-05 -0.0002132221532 -0.0002132063042 -0.0006512696564 -0.0006512618139 -0.001101370593 -0.001101363213 -0.001291418095 -0.001291430765 -0.001101370593 -0.001101363213 -0.0006512696564 -0.0006512618139 -0.0002132221532 -0.0002132063042 
5.405405405 -3.147354438e-05 -3.145675557e-05 -0.000197504143 -0.0001975217446 -0.0006059604095 -0.0006059531555 -0.001025287827 -0.001025306245 -0.001202306912 -0.001202295661 -0.001025287827 -0.001025306245 -0.0006059604095 -0.0006059531555 -0.000197504143 -0.0001975217446 
5.505505506 -2.816265895e-05 -2.816451831e-05 -0.0001831541868 -0.0001831622361 -0.0005641700339 -0.0005641881803 -0.0009551302292 -0.0009551292106 -0.00112004851 -0.001120044344 -0.0009551302292 -0.0009551292106 -0.0005641700339 -0.0005641881803 -0.0001831541868 -0.0001831622361 
5.605605606 -2.523590781e-05 -2.525378976e-05 -0.0001700068368 -0.0001699966922 -0.0005256468595 -0.000525648703 -0.0008903154645 -0.0008903130428 -0.001044067991 -0.00104407026 -0.0008903154645 -0.0008903130428 -0.0005256468595 -0.000525648703 -0.0001700068368 -0.0001699966922 
5.705705706 -2.267343963e-05 -2.267552256e-05 -0.0001579114454 -0.0001579093193 -0.0004900588436 -0.0004900498035 -0.0008303926431 -0.0008303917143 -0.0009738297841 -0.0009738286328 -0.0008303926431 -0.0008303917143 -0.0004900588436 -0.0004900498035 -0.0001579114454 -0.0001579093193 
5.805805806 -2.040129972e-05 -2.0387663e-05 -0.0001467951836 -0.0001467975238 -0.0004571339752 -0.0004571357571 -0.0007749595435 -0.0007749459282 -0.0009088132478 -0.000908829177 -0.0007749595435 -0.0007749459282 -0.0004571339752 -0.0004571357571 -0.0001467951836 -0.0001467975238 
5.905905906 -1.836557589e-05 -1.835404685e-05 -0.000136567044 -0.0001365701507 -0.0004266811544 -0.0004266765458 -0.0007236012609 -0.0007235976828 -0.0008486209777 -0.0008486297723 -0.0007236012609 -0.0007235976828 -0.0004266811544 -0.0004266765458 -0.000136567044 -0.0001365701507 
6.006006006 -1.65328875e-05 -1.654348791e-05 -0.0001271464078 -0.000127145995 -0.0003984743383 -0.000398464854 -0.0006759920894 -0.000676005568 -0.0007928362958 -0.000792830999 -0.0006759920894 -0.000676005568 -0.0003984743383 -0.000398464854 -0.0001271464078 -0.000127145995 
6.106106106 -1.491205117e-05 -1.492902181e-05 -0.0001184497265 -0.0001184525359 -0.0003723136717 -0.0003723134724 -0.0006318529083 -0.000631860681 -0.0007410728264 -0.000741071388 -0.0006318529083 -0.000631860681 -0.0003723136717 -0.0003723134724 -0.0001184497265 -0.0001184525359 
6.206206206 -1.347587236e-05 -1.348727655e-05 -0.0001104159347 -0.0001104248572 -0.0003480382483 -0.0003480530447 -0.0005908826836 -0.0005908830677 -0.0006930178229 -0.0006930232789 -0.0005908826836 -0.0005908830677 -0.0003480382483 -0.0003480530447 -0.0001104159347 -0.0001104248572 
6.306306306 -1.219564739e-05 -1.219794581e-05 -0.0001029992283 -0.0001030047223 -0.0003255154239 -0.0003255301062 -0.0005528146358 -0.0005528186111 -0.0006483911495 -0.0006483891963 -0.0005528146358 -0.0005528186111 -0.0003255154239 -0.0003255301062 -0.0001029992283 -0.0001030047223 
6.406406406 -1.104917814e-05 -1.104334724e-05 -9.614092417e-05 -9.613977809e-05 -0.0003045970619 -0.00030460537 -0.0005174221298 -0.0005174363037 -0.0006069091533 -0.0006068986723 -0.0005174221298 -0.0005174363037 -0.0003045970619 -0.00030460537 -9.614092417e-05 -9.613977809e-05 
6.506506507 -1.001935454e-05 -1.000805039e-05 -8.979014872e-05 -8.978286844e-05 -0.0002851501334 -0.000285152226 -0.000484512717 -0.0004845258489 -0.0005683181431 -0.0005683054499 -0.000484512717 -0.0004845258489 -0.0002851501334 -0.000285152226 -8.979014872e-05 -8.978286844e-05 
6.606606607 -9.092484964e-06 -9.078562339e-06 -8.390291574e-05 -8.389143886e-05 -0.0002670562684 -0.0002670554214 -0.0004538878355 -0.0004538955472 -0.0005323903659 -0.0005323850176 -0.0004538878355 -0.0004538955472 -0.0002670562684 -0.0002670554214 -8.390291574e-05 -8.389143886e-05 
